hotel_name,city,description_first,price_euros_first,rating,num_reviews,quality_over_5,quality_type,description_second,price_euros_second,description,description_no_stopwords,description_stem
Encantador Alojamiento junto al corazón de Madrid Río,"Madrid, Community of Madrid","Double Room
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 room left at this price on our site",947.0,7.7,541.0,3.0,squares,"Double Room
2 beds (1 full, 1 sofa bed)
Only 5 left at this price on our site",1023.0,"Attractively located in the Latina district of Madrid, Encantador Alojamiento junto al corazón de Madrid Río is located 1.8 km from Puerta de Toledo, 2 km from Plaza de España Metro Station and 2 km from Plaza Mayor. It is situated 1.7 km from Mercado San Miguel and features free WiFi plus a lift. The apartment has family rooms.

Some units are fitted with air conditioning, a flat-screen TV, washing machine and a coffee machine, as well as a fully equipped kitchen. At the apartment complex, each unit has a private bathroom.

Royal Palace of Madrid is 1.6 km from the apartment, while Puerta del Sol is 2.8 km from the property. Adolfo Suarez Madrid-Barajas Airport is 16 km away.",attractively latina district encantador alojamiento junto corazón río 18 puerta toledo 2 plaza españa metro station 2 plaza mayor 17 mercado san miguel features free plus lift family rooms fitted air conditioning flatscreen washing machine coffee machine well fully equipped kitchen complex royal palace 16 puerta sol 28 property adolfo suarez madridbarajas airport 16,attract latina district encantador alojamiento junto corazón río 18 puerta toledo 2 plaza españa metro station 2 plaza mayor 17 mercado san miguel featur free plu lift famili room fit air condit flatscreen wash machin coffe machin well fulli equip kitchen complex royal palac 16 puerta sol 28 properti adolfo suarez madridbaraja airport 16
Espacio Bernabéu,"Madrid, Community of Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 2 living rooms • 2 bathrooms • 37m²
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 1 left at this price on our site",985.0,9.2,60.0,3.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 2 living rooms • 2 bathrooms • 37m²
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 2 left at this price on our site",1177.0,"Espacio Bernabéu is situated in the Chamartín district of Madrid, 2.3 km from Santiago Bernabéu Stadium, 3.3 km from Chamartin Railway Station and 5.9 km from Thyssen-Bornemisza Museum. The property is around 6.1 km from El Retiro Park, 6.1 km from IFEMA and 6.2 km from Gran Via Metro Station. Free WiFi is available and private parking can be arranged at an extra charge.

The air-conditioned apartment consists of 1 bedroom, 2 living rooms, a fully equipped kitchenette with a microwave and a coffee machine, and 2 bathrooms with an a bath or shower and a hair dryer. This apartment also comes with a terrace that doubles up as an outdoor dining area. For added privacy, the accommodation features a private entrance.

Guests at the apartment can enjoy a continental breakfast.

Gran Via is 6.3 km from Espacio Bernabéu, while Temple of Debod is 6.9 km from the property. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 14 km from the accommodation.",espacio bernabéu chamartín district 23 santiago bernabéu stadium 33 chamartin railway station 59 thyssenbornemisza museum property around 61 retiro park 61 ifema 62 gran via metro station free parking arranged extra charge airconditioned consists 1 bedroom 2 living rooms fully equipped kitchenette microwave coffee machine 2 bathrooms bath shower hair dryer also comes terrace doubles outdoor dining area added privacy features entrance guests enjoy continental breakfast gran via 63 espacio bernabéu temple debod 69 property nearest airport adolfo suarez madridbarajas airport 14,espacio bernabéu chamartín district 23 santiago bernabéu stadium 33 chamartin railway station 59 thyssenbornemisza museum properti around 61 retiro park 61 ifema 62 gran via metro station free park arrang extra charg aircondit consist 1 bedroom 2 live room fulli equip kitchenett microwav coffe machin 2 bathroom bath shower hair dryer also come terrac doubl outdoor dine area ad privaci featur entranc guest enjoy continent breakfast gran via 63 espacio bernabéu templ debod 69 properti nearest airport adolfo suarez madridbaraja airport 14
Espahotel Plaza Basílica,"Madrid, Community of Madrid","Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 full bed
Free cancellation
Only 1 left at this price on our site",903.0,8.5,1398.0,3.0,stars,"Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 full bed
Free cancellation
Only 2 left at this price on our site",1112.0,"Espahotel Plaza Basílica is located 10 minutes’ walk from Real Madrid’s Santiago Bernabéu Stadium in Madrid’s financial district. It offers modern apartments with Wi-Fi connection and satellite TV.

All Plaza Basílica apartments are equipped with air conditioning and heating. The bedrooms and living rooms feature carpeted floors.

The bathrooms come with a hairdryer and bathroom amenities. In the kitchens there is a hob.

Staff at the hotel’s 24-hour reception can provide information about what to see and do in Madrid. There are also car rental and currency exchange services available.

Espahotel Plaza Basílica is 400 metres from the Corte Inglés and 14 minutes' walk from Santiago Bernabéu stadium. There is a variety of restaurants in the surrounding streets. Madrid’s Convention Centre, the Palacio de Congresos, is 10 minutes’ walk away.",espahotel plaza basílica 10 real madrids santiago bernabéu stadium madrids financial district offers connection satellite plaza basílica equipped air conditioning heating bedrooms living rooms carpeted floors bathrooms come hairdryer amenities kitchens hob staff hotels 24hour reception provide information see also car rental currency exchange services espahotel plaza basílica 400 corte inglés 14 santiago bernabéu stadium variety restaurants surrounding streets madrids convention centre palacio congresos 10,espahotel plaza basílica 10 real madrid santiago bernabéu stadium madrid financi district offer connect satellit plaza basílica equip air condit heat bedroom live room carpet floor bathroom come hairdryer amen kitchen hob staff hotel 24hour recept provid inform see also car rental currenc exchang servic espahotel plaza basílica 400 cort inglé 14 santiago bernabéu stadium varieti restaur surround street madrid convent centr palacio congreso 10
Espahotel Plaza de España,"Madrid, Community of Madrid","Premium Double Room
Multiple bed types
Free cancellation
Only 3 rooms left at this price on our site",1098.0,7.8,3649.0,3.0,stars,"Premium Double Room
Multiple bed types
Free cancellation
Only 2 rooms left at this price on our site",1254.0,"Espahotel Plaza de España overlooks Madrid’s famous Plaza de España, 5 minutes’ walk from the Royal Palace. It offers studio apartments with a kitchen, satellite TV and Wi-Fi connection.

All studios at the Hotel Plaza de España are equipped with air conditioning and heating. They also have a kitchen with a hob and a microwave.

The hotel has a restaurant which serves breakfast, lunch and dinner. There is also a bar where you can get a snack or a drink.

The Plaza de España Hotel is very well-connected to the rest of Madrid, with Plaza de España Metro Station located just 50 metres away. It is a 5-minute Metro trip to Puerta del Sol, or 10 minutes to the Prado Museum.

Please note that Half board rates include breakfast and lunch or dinner.",espahotel plaza españa overlooks madrids famous plaza españa 5 royal palace offers studio kitchen satellite connection studios plaza españa equipped air conditioning heating also kitchen hob microwave restaurant serves breakfast lunch dinner also bar get snack drink plaza españa wellconnected rest plaza españa metro station 50 5minute metro trip puerta sol 10 prado museum please note half board rates breakfast lunch dinner,espahotel plaza españa overlook madrid famou plaza españa 5 royal palac offer studio kitchen satellit connect studio plaza españa equip air condit heat also kitchen hob microwav restaur serv breakfast lunch dinner also bar get snack drink plaza españa wellconnect rest plaza españa metro station 50 5minut metro trip puerta sol 10 prado museum pleas note half board rate breakfast lunch dinner
Estudio vanguardista- 1B- Chamberí,"Madrid, Community of Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 35m²
1 full bed
Free cancellation",701.0,7.4,10.0,3.0,squares,"Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 35m²
1 full bed
Free cancellation",1056.0,"Estudio vanguardista- 1B- Chamberí is located in the Chamberi district of Madrid, 2.7 km from Gran Via Metro Station, 2.8 km from Gran Via and 3.1 km from Temple of Debod. The property is situated 3.1 km from Plaza de España Metro Station, 3.4 km from Thyssen-Bornemisza Museum and 3.7 km from Royal Palace of Madrid. Free WiFi is available throughout the property and Santiago Bernabéu Stadium is 2.6 km away.

The apartment features 1 bedroom, a fully equipped kitchen with a dishwasher and an oven, a washing machine and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Mercado San Miguel is 4.5 km from Estudio vanguardista- 1B- Chamberí, while Plaza Mayor is 4.7 km away. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 16 km from the accommodation.",estudio vanguardista 1b chamberí chamberi district 27 gran via metro station 28 gran via 31 temple debod property 31 plaza españa metro station 34 thyssenbornemisza museum 37 royal palace free throughout property santiago bernabéu stadium 26 features 1 bedroom fully equipped kitchen dishwasher oven washing machine 1 hair dryer towels bed linen provided nonsmoking mercado san miguel 45 estudio vanguardista 1b chamberí plaza mayor 47 nearest airport adolfo suarez madridbarajas airport 16,estudio vanguardista 1b chamberí chamberi district 27 gran via metro station 28 gran via 31 templ debod properti 31 plaza españa metro station 34 thyssenbornemisza museum 37 royal palac free throughout properti santiago bernabéu stadium 26 featur 1 bedroom fulli equip kitchen dishwash oven wash machin 1 hair dryer towel bed linen provid nonsmok mercado san miguel 45 estudio vanguardista 1b chamberí plaza mayor 47 nearest airport adolfo suarez madridbaraja airport 16
Estudios Nuevos Madrid Centro,"Madrid, Community of Madrid","Double Room with Private Bathroom
1 queen bed
Only 1 room left at this price on our site",530.0,8.8,120.0,3.0,squares,"Queen Room - Disability Access
1 queen bed
Free cancellation
Only 1 room left at this price on our site",603.0,"Estudios Nuevos Madrid Centro is situated in the Villaverde district of Madrid, 7.9 km from Reina Sofia Museum, 8 km from Puerta de Toledo and 9 km from Puerta del Sol. The property has garden and city views, and is 7.7 km from Atocha Train Station. El Retiro Park is 10 km away and Mercado San Miguel is 10 km from the guest house.

Featuring a private bathroom, units at the guest house also boast free WiFi.

Thyssen-Bornemisza Museum is 9.3 km from the guest house, while Gran Via Metro Station is 10 km from the property. Adolfo Suarez Madrid-Barajas Airport is 18 km away.",estudios nuevos centro villaverde district 79 reina sofia museum 8 puerta toledo 9 puerta sol property garden city views 77 atocha train station retiro park 10 mercado san miguel 10 featuring also boast free thyssenbornemisza museum 93 gran via metro station 10 property adolfo suarez madridbarajas airport 18,estudio nuevo centro villaverd district 79 reina sofia museum 8 puerta toledo 9 puerta sol properti garden citi view 77 atocha train station retiro park 10 mercado san miguel 10 featur also boast free thyssenbornemisza museum 93 gran via metro station 10 properti adolfo suarez madridbaraja airport 18
Eurohotel Diagonal Port,Barcelona,"Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site",1033.0,8.1,5787.0,4.0,stars,"Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site",2172.0,"Just 350 metres from Mar Bella Beach, Eurohotel Diagonal Port offers Mediterranean Sea views from its setting in Barcelona’s Poble Nou district.

Rooms at this hotel are spacious and feature contemporary design. All come with air conditioning, satellite TV. Free wired internet access is also available.

Facilities at Eurohotel Diagonal Port include a continental breakfast.

Eurohotel Diagonal Port is located 7 minutes’ walk from Poblenou Metro Station, which is just 5 stops from central Barcelona. The hotel is just over 2 km from Ciutadella Park and the Forum venue is a 20-minute walk away.

The hotel offers easy access to the 22@ financial district, close to Barcelona International Convention Centre and shops. There is a Metro station and buses stop within 5 minutes' walk of the hotel.",350 mar bella beach eurohotel diagonal port offers mediterranean views setting barcelonas poble nou district rooms spacious contemporary design come air conditioning satellite free wired internet also facilities eurohotel diagonal port continental breakfast eurohotel diagonal port 7 poblenou metro station 5 stops central 2 ciutadella park forum venue 20minute offers easy 22 financial district close international convention centre shops metro station buses stop within 5,350 mar bella beach eurohotel diagon port offer mediterranean view set barcelona pobl nou district room spaciou contemporari design come air condit satellit free wire internet also facil eurohotel diagon port continent breakfast eurohotel diagon port 7 poblen metro station 5 stop central 2 ciutadella park forum venu 20minut offer easi 22 financi district close intern convent centr shop metro station buse stop within 5
Eurostars Casa de la Lírica,"Madrid, Community of Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property",1324.0,8.6,3441.0,4.0,stars,"Double or Twin Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site",1345.0,"The Eurostars Casa de la Lírica is 300 metres from the Puerta del Sol in central Madrid. Its lobby has a beautiful glass roof, and it offers rooms with shower.

The air-conditioned rooms at the Casa de la Lírica are elegant and comfortable. They are equipped with a TV and the private bathrooms come with a hairdryer.

Eurostars Casa de la Lírica is 10 minutes’ walk from Paseo del Prado, home to the Thyssen, Prado and Reina Sofía Museums. The hotel is well connected to the rest of Madrid, with 3 metro stations within 300 metres.

Due to the Sustainable Mobility Ordinance in the city of Madrid, there are currently traffic restrictions in the area where the hotel is located. It is mandatory that the vehicles have the environmental label since, failing that, they can be penalized with a fine. Please consult the ""Madrid 360"" strategic plan page for the conditions that apply to each device.",eurostars casa lírica 300 puerta sol central lobby beautiful glass roof offers rooms shower airconditioned rooms casa lírica elegant comfortable equipped bathrooms come hairdryer eurostars casa lírica 10 paseo prado home thyssen prado reina sofía museums well connected rest 3 metro stations within 300 due sustainable mobility ordinance city currently traffic restrictions area mandatory vehicles environmental label since failing penalized fine please consult 360 strategic plan page conditions apply device,eurostar casa lírica 300 puerta sol central lobbi beauti glass roof offer room shower aircondit room casa lírica eleg comfort equip bathroom come hairdryer eurostar casa lírica 10 paseo prado home thyssen prado reina sofía museum well connect rest 3 metro station within 300 due sustain mobil ordin citi current traffic restrict area mandatori vehicl environment label sinc fail penal fine pleas consult 360 strateg plan page condit appli devic
Eurostars Central,"Madrid, Community of Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation",1140.0,8.4,4931.0,4.0,stars,"Double or Twin Room
Beds: 1 double or 2 twins",1140.0,"Located in Madrid city centre, 250 metres from Tribunal Metro Station, Eurostars Central is a modern hotel with an on-site fitness centre and bar. It offers stylish air-conditioned rooms with free WiFi.

Each room comes with a flat-screen satellite TV and minibar. There is a private bathroom with a hairdryer and free toiletries.

Eurostars Central has a 24-hour reception, and staff can give you information on what to see and do in Madrid. You can find a wide variety of fashionable restaurants, bars and shops within a 5-minute walk of the property.

The Retiro Park and Puerta del Sol Square are both a 15-minute walk from the hotel, while the Prado Art Museum is 20 minutes away on foot.",city centre 250 tribunal metro station eurostars central onsite fitness centre bar offers airconditioned rooms free comes flatscreen satellite minibar hairdryer free toiletries eurostars central 24hour reception staff give information see find wide variety fashionable restaurants bars shops within 5minute property retiro park puerta sol square 15minute prado art museum 20 foot,citi centr 250 tribun metro station eurostar central onsit fit centr bar offer aircondit room free come flatscreen satellit minibar hairdryer free toiletri eurostar central 24hour recept staff give inform see find wide varieti fashion restaur bar shop within 5minut properti retiro park puerta sol squar 15minut prado art museum 20 foot
Eurostars Grand Marina Hotel GL,Barcelona,"Superior Double or Twin Room
Beds: 1 double or 2 twins",1201.0,8.3,4956.0,5.0,stars,"Superior Double or Twin Room
Beds: 1 double or 2 twins",4476.0,"Set within the World Trade Center building, this 5-star design hotel overlooks Barcelona’s port and is a 5-minute walk from La Rambla. It features a seasonal rooftop pool, a gym and a spacious terrace.

The Eurostars Grand Marina Hotel GL offers modern rooms with wooden flooring and warm-coloured fabrics. A flat-screen TV with satellite channels and a spacious work desk are featured in each room. A pillow menu is also available.

The chic Grand Marina restaurant serves Mediterranean meals prepared with seasonal ingredients, while the lobby bar features exotic cocktails and live music. In the mornings, a rich breakfast is served on the terrace, weather permitting.

The Marina GL's gym offers cardiovascular equipment and free weights. Massage services are available.

Drassanes Metro Station, providing links to the rest of the city, is just 500 metres from the hotel while Barcelona Airport is 15 km away.",set within world trade center building 5star design overlooks barcelonas port 5minute rambla features seasonal rooftop pool gym spacious terrace eurostars grand marina gl offers rooms wooden flooring warmcoloured fabrics flatscreen satellite channels spacious work featured pillow menu also chic grand marina restaurant serves mediterranean meals prepared seasonal ingredients lobby bar features exotic cocktails live music mornings rich breakfast served terrace weather permitting marina gls gym offers cardiovascular equipment free weights massage services drassanes metro station providing links rest city 500 airport 15,set within world trade center build 5star design overlook barcelona port 5minut rambla featur season rooftop pool gym spaciou terrac eurostar grand marina gl offer room wooden floor warmcolour fabric flatscreen satellit channel spaciou work featur pillow menu also chic grand marina restaur serv mediterranean meal prepar season ingredi lobbi bar featur exot cocktail live music morn rich breakfast serv terrac weather permit marina gl gym offer cardiovascular equip free weight massag servic drassan metro station provid link rest citi 500 airport 15
Eurostars Madrid Gran Vía,"Madrid, Community of Madrid","Double Room
Beds: 1 double or 2 twins
Free cancellation",1192.0,8.7,3302.0,4.0,stars,"Double Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site",1175.0,"Eurostars Madrid Gran Via is located 50 metres from Madrid’s lively Gran Via. Surrounded by great shops and restaurants, this hotel offers free Wi-Fi throughout and rooms with a flat-screen satellite TV.

Rooms at the Eurostars Madrid Gran Via are modern and spacious. They feature a small seating area and air conditioning. Some rooms include a terrace.

The Eurostars Madrid Gran Via’s tour desk and ticket service can organize trips to nearby Alcalá de Henares and Segovia. Plaza de España and Santo Domingo Metro Stations are 200 metres from the hotel.",eurostars gran via 50 madrids lively gran via surrounded great shops restaurants offers free throughout rooms flatscreen satellite rooms eurostars gran via spacious small seating area air conditioning rooms terrace eurostars gran vias tour ticket organize trips nearby alcalá henares segovia plaza españa santo domingo metro stations 200,eurostar gran via 50 madrid live gran via surround great shop restaur offer free throughout room flatscreen satellit room eurostar gran via spaciou small seat area air condit room terrac eurostar gran via tour ticket organ trip nearbi alcalá henar segovia plaza españa santo domingo metro station 200
Eurostars Madrid Tower,"Madrid, Community of Madrid","Superior Double or Twin Room
Multiple bed types
Free cancellation",1510.0,8.8,4934.0,5.0,stars,"Superior Double or Twin Room
Multiple bed types
Free cancellation",1565.0,"This sophisticated hotel is located in the 235-metre high SyV Tower, and includes a gym and spa. All rooms have superb views of Madrid as well as free Wi-Fi and flat-screen TVs.

The Eurostars Madrid Tower can be found in the Cuatro Torres business area, on Paseo de la Castellana. Begoña Metro Station is just 100 metres away, and nearby Chamartín Station offers easy access to the city centre.

All of the Eurostar Madrid's rooms have a pillow menu. They have wooden floors and large windows, and spacious modern bathrooms. All rooms are equipped with steam brush for clothes and a hair care set.

The Madrid Tower’s restaurant is located on the 30th floor, and has panoramic views of the city. It serves classic Mediterranean dishes. There is also a piano bar.

The hotel offers easy access to the A-1 and M-11 motorways. Real Madrid's football stadium, the Santiago Bernabéu, is just 3 km away. Barajas Airport can be reached in 14 minutes by car.",sophisticated 235metre high syv tower includes gym spa rooms superb views well free flatscreen tvs eurostars tower found cuatro torres business area paseo castellana begoña metro station 100 nearby chamartín station offers easy city centre eurostar madrids rooms pillow menu wooden floors large windows spacious bathrooms rooms equipped steam brush clothes hair care set towers restaurant 30th floor panoramic views city serves classic mediterranean dishes also piano bar offers easy a1 m11 motorways real madrids football stadium santiago bernabéu 3 barajas airport reached 14 car,sophist 235metr high syv tower includ gym spa room superb view well free flatscreen tv eurostar tower found cuatro torr busi area paseo castellana begoña metro station 100 nearbi chamartín station offer easi citi centr eurostar madrid room pillow menu wooden floor larg window spaciou bathroom room equip steam brush cloth hair care set tower restaur 30th floor panoram view citi serv classic mediterranean dish also piano bar offer easi a1 m11 motorway real madrid footbal stadium santiago bernabéu 3 baraja airport reach 14 car
Eurostars Monte Real,"Madrid, Community of Madrid","Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property",874.0,8.7,2576.0,4.0,stars,"Double Room
Beds: 1 double or 2 twins",855.0,"Located in Madrid’s elegant Puerta de Hierro neighbourhood, this hotel is 10 minutes’ drive from Plaza de Cuzco and Paseo de la Castellana. It offers a restaurant and a fitness centre.

Hotel Monte Real is 15 minutes' drive from Real Madrid's Santiago Bernabéu Stadium. You can drive to the centre of Madrid in 25 minutes.The Royal Golf Federation and the Campo Villa Golf Course are nearby.

The spacious and comfortable rooms feature modern décor and are equipped with air conditioning, flat-screen satellite TV and a private bathroom with hairdryer. All rooms also have a private terrace.

The hotel is suitable for people with reduced mobility and has adapted rooms. Rooms must be arranged directly with the hotel and are subject to availability.

Eurostars Monte Real has a wellness centre, a 24-hour front desk as well as meeting and banquet facilities. Free WiFi is available in public areas. There is also a large garden, and the lounge bar has a terrace.

Eurostars Monte Real is just 5 km from the centre of Madrid and is easily accessible by public transport. Ruber Internacional Hospital and Zemtro Clinic are nearby, and Las Rozas Village outlet shopping area is 30 minutes' drive away.

There is good access to the M-30 and M-40 Motorways, connecting you with Madrid Airport and IFEMA Exhibition Centre in less than 15 minutes’ drive of the hotel.",madrids elegant puerta hierro neighbourhood 10 drive plaza cuzco paseo castellana offers restaurant fitness centre monte real 15 drive real madrids santiago bernabéu stadium drive centre 25 minutesthe royal golf federation campo villa golf course nearby spacious comfortable rooms décor equipped air conditioning flatscreen satellite hairdryer rooms also terrace suitable people reduced mobility adapted rooms rooms must arranged directly subject availability eurostars monte real wellness centre 24hour front well meeting banquet facilities free public areas also large garden lounge bar terrace eurostars monte real 5 centre easily accessible public transport ruber internacional hospital zemtro clinic nearby rozas village outlet shopping area 30 drive good m30 m40 motorways connecting airport ifema exhibition centre less 15 drive,madrid eleg puerta hierro neighbourhood 10 drive plaza cuzco paseo castellana offer restaur fit centr mont real 15 drive real madrid santiago bernabéu stadium drive centr 25 minutesth royal golf feder campo villa golf cours nearbi spaciou comfort room décor equip air condit flatscreen satellit hairdryer room also terrac suitabl peopl reduc mobil adapt room room must arrang directli subject avail eurostar mont real well centr 24hour front well meet banquet facil free public area also larg garden loung bar terrac eurostar mont real 5 centr easili access public transport ruber internacion hospit zemtro clinic nearbi roza villag outlet shop area 30 drive good m30 m40 motorway connect airport ifema exhibit centr less 15 drive
Eurostars Monumental,Barcelona,"Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site",1055.0,8.5,1800.0,4.0,stars,"Double or Twin Room
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site",2996.0,"This design hotel offers free WiFi and is just 400 metres from Sagrada Família Church. Decorated in elegant neutral tones, rooms include a plasma screen TV with satellite channels.

Rooms at the Eurostars Monumental have wooden floors and modern lighting. Toiletries and a hairdryer are included in the stylish marble bathrooms.

A breakfast buffet is served in the hotel’s restaurant. You can also find various restaurants and cafés within a 5-minute walk, in the area around the Sagrada Familia.

Eurostars Monumental is 100 metres from Monumental Metro Station, which provides direct trains to Passeig de Gracia Station. Estació del Nord Bus Station is just 850 metres away. The property offers a parking space for luggage drop off in front of the hotel.",design offers free 400 sagrada família church decorated elegant neutral tones rooms plasma screen satellite channels rooms eurostars monumental wooden floors lighting toiletries hairdryer included marble bathrooms breakfast buffet served hotels restaurant also find various restaurants cafés within 5minute area around sagrada familia eurostars monumental 100 monumental metro station provides direct trains passeig gracia station estació nord bus station 850 property offers parking space luggage drop front,design offer free 400 sagrada família church decor eleg neutral tone room plasma screen satellit channel room eurostar monument wooden floor light toiletri hairdryer includ marbl bathroom breakfast buffet serv hotel restaur also find variou restaur café within 5minut area around sagrada familia eurostar monument 100 monument metro station provid direct train passeig gracia station estació nord bu station 850 properti offer park space luggag drop front
Eurostars Plaza Mayor,"Madrid, Community of Madrid","Double or Twin Room
Multiple bed types
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site",1195.0,8.6,2908.0,4.0,stars,"Double or Twin Room
Multiple bed types
Only 3 rooms left at this price on our site",1307.0,"Within 150 metres of Tirso de Molina Metro Station, Eurostars Plaza Mayor offers a central location, 5 minutes’ walk from Plaza Mayor. This stylish hotel offers free WiFi and a 7th-floor breakfast room with panoramic city views.

The spacious, modern rooms at Eurostars Plaza Mayor feature contemporary décor with parquet floors, and finishes including exposed stonework and ceramic mosaic tiles. All rooms have flat-screen satellite TV, a minibar and a bathroom with a hairdryer and free toiletries.

The hotel is housed in restored buildings which were part of the former Frontón Madrid Sports Arena, which dates from the 1930s.

Puerta del Sol and its bars, cafés and clubs, can be reached in 5 minutes by foot.  The Art Triangle and Paseo del Prado can be reached in 15 minutes by foot.

Atocha Railway Station and the AVE High-Speed Railway are 2 stops away. You can reach Barajas Airport in an hour by Metro.",within 150 tirso molina metro station eurostars plaza mayor offers central location 5 plaza mayor offers free 7thfloor breakfast panoramic city views spacious rooms eurostars plaza mayor contemporary décor parquet floors finishes including exposed stonework ceramic mosaic tiles rooms flatscreen satellite minibar hairdryer free toiletries housed restored buildings part former frontón sports arena dates 1930s puerta sol bars cafés clubs reached 5 foot art triangle paseo prado reached 15 foot atocha railway station ave highspeed railway 2 stops reach barajas airport hour metro,within 150 tirso molina metro station eurostar plaza mayor offer central locat 5 plaza mayor offer free 7thfloor breakfast panoram citi view spaciou room eurostar plaza mayor contemporari décor parquet floor finish includ expos stonework ceram mosaic tile room flatscreen satellit minibar hairdryer free toiletri hous restor build part former frontón sport arena date 1930 puerta sol bar café club reach 5 foot art triangl paseo prado reach 15 foot atocha railway station ave highspe railway 2 stop reach baraja airport hour metro
Eurostars Suites Mirasierra,"Madrid, Community of Madrid","Deluxe Double Suite
Beds: 1 double or 2 twins
Free cancellation",1129.0,8.9,2650.0,5.0,stars,"Deluxe Double Suite
Beds: 1 double or 2 twins",1232.0,"Eurostars Suites Mirasierra is located in Madrid, 9 km from the city centre, and 12 km from Barajas Airport. This hotel offers free WiFi and free parking.

This modern design hotel offers spacious suites, with plenty of natural light and interactive LCD TV. All air-conditioned rooms have a lounge area with a sofa. There is a dressing room, and bathroom with hairdryer, bathrobe and slippers.

The hotel also has a gourmet restaurant, a snack bar and a cocktail bar. Room service is available. There is a tour desk, and you can hire a car at the hotel. Herrera Oria Metro Station is 600 metres away.",eurostars suites mirasierra 9 city centre 12 barajas airport offers free free parking design offers spacious suites plenty natural light interactive lcd airconditioned rooms lounge area sofa dressing hairdryer bathrobe slippers also gourmet restaurant snack bar cocktail bar tour hire car herrera oria metro station 600,eurostar suit mirasierra 9 citi centr 12 baraja airport offer free free park design offer spaciou suit plenti natur light interact lcd aircondit room loung area sofa dress hairdryer bathrob slipper also gourmet restaur snack bar cocktail bar tour hire car herrera oria metro station 600
Exe Convention Plaza Madrid,"Madrid, Community of Madrid","Double Room
Beds: 1 double or 2 twins
Free cancellation",645.0,8.1,1631.0,4.0,stars,"Double Room
Beds: 1 double or 2 twins",1072.0,"Exe Convention Plaza Madrid design hotel is located 4.5 km from Paseo de la Castellana Boulevard. It features a gym and free WiFi.

The spacious, air-conditioned rooms at Exe Convention Plaza Madrid feature free WiFi and a flat-screen TV with local and international channels. Each one comes with a minibar and a safe.

Exe Convention Plaza Madrid offers a continental breakfast with room service. The hotel hosts a permanent luxury car exhibition. A shopping centre and movie theatre can be found within 500 metres of the hotel.

Las Tablas Metro Station is 800 metres away, with a direct service to Chamartín, Santiago Bernabéu Stadium and Gran Via de Madrid. By making just one change you can reach metro stations Colon, Puerta del Sol, Ifema, Atocha, and the airport. There is a golf course and a paddle tennis court 1 km from the property.",exe convention plaza design 45 paseo castellana boulevard features gym free spacious airconditioned rooms exe convention plaza free flatscreen local international channels one comes minibar safe exe convention plaza offers continental breakfast hosts permanent luxury car exhibition shopping centre movie theatre found within 500 tablas metro station 800 direct chamartín santiago bernabéu stadium gran via making one change reach metro stations colon puerta sol ifema atocha airport golf course paddle tennis court 1 property,exe convent plaza design 45 paseo castellana boulevard featur gym free spaciou aircondit room exe convent plaza free flatscreen local intern channel one come minibar safe exe convent plaza offer continent breakfast host perman luxuri car exhibit shop centr movi theatr found within 500 tabla metro station 800 direct chamartín santiago bernabéu stadium gran via make one chang reach metro station colon puerta sol ifema atocha airport golf cours paddl tenni court 1 properti
